BEIJING,,,© 2016 Crown Copyright Met Office,,
NGR = NA,,,,,
Altitude = 55,,,,,
"Latitude =  39.933, 116.283",,,,,
,,,,,
Date,Daily Mean Air Temperature,Rainfall (24 hour total),Daily Mean Pressure (hPa),Daily Mean Wind Speed,Daily Mean Windspeed (Beaufort conversion)
1/5/1987,13.7,6.0,1016,4.0,Light
2/5/1987,12.7,0.1,1018,4.5,Light
3/5/1987,17.0,0.0,1018,7.5,Light
4/5/1987,17.0,0.0,1016,8.0,Light
5/5/1987,19.8,0.0,1012,3.5,Light
6/5/1987,21.0,0.0,1007,9.5,Light
7/5/1987,21.5,0.0,1010,5.5,Light
8/5/1987,21.6,0.0,1012,8.5,Light
9/5/1987,21.2,0.0,1015,4.5,Light
10/5/1987,20.7,0.0,1015,6.5,Light
11/5/1987,21.6,0.0,1011,5.5,Light
12/5/1987,22.1,0.0,1014,6.0,Light
13/5/1987,17.6,0.0,1019,9.0,Light
14/5/1987,20.3,0.0,1008,7.5,Light
15/5/1987,21.3,4.0,1003,6.5,Light
16/5/1987,15.6,0.0,1012,10.0,Light
17/5/1987,17.6,0.0,1008,5.0,Light
18/5/1987,15.8,0.0,1005,2.5,Light
19/5/1987,22.2,0.0,1012,6.0,Light
20/5/1987,22.1,0.0,1009,4.5,Light
21/5/1987,23.8,6.0,1004,5.0,Light
22/5/1987,19.0,1.0,1001,3.0,Light
23/5/1987,21.2,0.0,1005,6.5,Light
24/5/1987,19.3,20.7,1010,3.0,Light
25/5/1987,20.7,0.0,1015,4.0,Light
26/5/1987,23.0,0.0,1017,6.5,Light
27/5/1987,22.8,0.0,1017,4.5,Light
28/5/1987,21.1,0.0,1011,4.0,Light
29/5/1987,23.4,0.0,1008,5.0,Light
30/5/1987,20.8,4.0,1009,3.0,Light
31/5/1987,18.9,23.7,1009,3.0,Light
1/6/1987,20.2,0.0,1006,3.3,Light
2/6/1987,21.7,0.0,1000,2.0,Light
3/6/1987,24.7,0.0,1001,5.0,Light
4/6/1987,27.7,0.0,1001,3.5,Light
5/6/1987,16.1,31.0,1014,12.5,Moderate
6/6/1987,17.9,0.0,1015,5.5,Light
