HEATHROW                           © Crown Copyright  Met Office 2015,,,,,,,,,,,,,,
NGR = 5076E 1767N,,,,,,,,,,,,,,
Altitude = 25 metres,,,,,,,,,,,,,,
Latitude = 51:48N Longitude = 00:45W,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date,Daily Mean Temperature (0900-0900) (°C),Daily Total Rainfall (0900-0900) (mm),Daily Total Sunshine (0000-2400) (hrs),Daily Mean Windspeed (0000-2400) (kn),Daily Mean Windspeed (0000-2400) (Beaufort conversion),Daily Maximum Gust (0000-2400) (kn),Daily Maximum Relative Humidity,Daily Mean Total Cloud (oktas),Daily Mean Visibility (dam),Daily Mean Pressure (hPa),Daily Mean Wind Direction (o),Cardinal Direction,Daily Max Gust Corresponding Direction (o),Cardinal Direction
1/5/1987,14.6,1.6,n/a,n/a,n/a,n/a,96,7,1300,1017,210,SSW,230,SW
2/5/1987,8.8,1.9,n/a,n/a,n/a,n/a,97,4,2500,1014,250,WSW,290,WNW
3/5/1987,7.2,2.2,n/a,n/a,n/a,n/a,91,5,2100,1023,340,NNW,330,NNW
4/5/1987,7.3,0,n/a,n/a,n/a,n/a,82,2,2800,1032,350,N,10,N
5/5/1987,10.1,0,n/a,n/a,n/a,n/a,76,7,2400,1033,330,NNW,20,NNE
6/5/1987,11.9,0,n/a,n/a,n/a,n/a,94,4,1100,1032,320,NW,290,WNW
7/5/1987,12.2,0,n/a,n/a,n/a,n/a,91,2,1900,1031,20,NNE,30,NNE
8/5/1987,12.1,0,n/a,n/a,n/a,n/a,95,0,1300,1026,180,S,190,S
9/5/1987,15.2,0,n/a,n/a,n/a,n/a,93,3,1200,1016,0,N,220,SW
10/5/1987,11.1,tr,n/a,n/a,n/a,n/a,77,5,3200,1015,320,NW,350,N
11/5/1987,10.6,2.5,n/a,n/a,n/a,n/a,96,7,1900,1011,240,WSW,220,SW
12/5/1987,12.7,2.8,n/a,n/a,n/a,n/a,95,6,1900,1002,290,WNW,310,NW
13/5/1987,8.9,9.9,n/a,n/a,n/a,n/a,94,4,2300,1011,280,W,290,WNW
14/5/1987,10.0,5.2,n/a,n/a,n/a,n/a,96,7,2000,1002,310,NW,240,WSW
15/5/1987,9.5,0.3,n/a,n/a,n/a,n/a,91,6,1500,1008,330,NNW,310,NW
16/5/1987,9.3,tr,n/a,n/a,n/a,n/a,92,6,2100,1014,270,W,190,S
17/5/1987,10.9,4.7,n/a,n/a,n/a,n/a,96,8,2200,1012,210,SSW,200,SSW
18/5/1987,10.7,2.2,1.2,7,Light,21,97,8,1100,1012,360,N,360,N
19/5/1987,11.9,0,7.4,6,Light,23,91,5,1600,1022,360,N,360,N
20/5/1987,9.5,0.1,10,6,Light,20,81,5,2600,1030,350,N,360,N
21/5/1987,10.4,0.1,3.6,8,Light,27,86,6,2200,1026,350,N,350,N
22/5/1987,9.7,5.9,2.6,8,Light,23,88,6,1600,1021,30,NNE,50,NE
23/5/1987,9.8,2.5,0,5,Light,14,92,8,1000,1020,40,NE,40,NE
24/5/1987,13.1,0,5.9,9,Light,21,92,6,1300,1017,80,E,90,E
25/5/1987,12.6,0,0.9,3,Light,13,89,6,800,1019,70,ENE,60,ENE
26/5/1987,15.9,0.3,5.1,7,Light,24,95,7,800,1016,50,NE,90,E
27/5/1987,14.9,0,12.3,5,Light,12,82,7,2000,1015,20,NNE,90,E
28/5/1987,13.5,tr,3.4,4,Light,15,93,6,700,1018,270,W,320,NW
29/5/1987,14.2,0,10.4,6,Light,16,93,5,2400,1023,290,WNW,270,W
30/5/1987,16.8,11.9,5.8,8,Light,26,94,7,2900,1021,220,SW,210,SSW
31/5/1987,16.2,0,7.9,5,Light,19,99,6,2000,1019,250,WSW,260,W
1/6/1987,15.4,tr,7.7,6,Light,18,91,7,2300,1021,250,WSW,240,WSW
2/6/1987,13.7,3.7,0,6,Light,20,96,8,1200,1016,180,S,210,SSW
3/6/1987,14.8,0.3,2.7,7,Light,21,93,7,2000,1007,210,SSW,270,W
4/6/1987,15.5,13.2,6.7,5,Light,23,96,6,1800,1005,210,SSW,340,NNW
5/6/1987,11.7,6.5,0,7,Light,23,96,7,1000,1009,130,SE,170,S
6/6/1987,14.2,tr,7.8,15,Moderate,40,95,6,2400,1003,210,SSW,190,S
7/6/1987,14.0,2.2,4.9,9,Light,28,81,6,3600,1004,230,SW,200,SSW
8/6/1987,12.1,4.2,0.3,4,Light,15,95,8,1600,1004,270,W,270,W
9/6/1987,11.3,1.9,0.2,3,Light,16,97,7,900,1004,40,NE,250,WSW
10/6/1987,11.3,2.8,8.7,4,Light,20,99,6,2600,1007,180,S,150,SSE
11/6/1987,13.9,3.6,3.3,3,Light,14,97,7,1000,1013,290,WNW,280,W
12/6/1987,12.5,tr,8.7,3,Light,12,97,4,1900,1018,270,W,240,WSW
13/6/1987,13.0,tr,6,4,Light,16,92,5,1300,1014,350,N,310,NW
14/6/1987,13.9,0.3,5.5,4,Light,14,92,6,2400,1012,120,ESE,160,SSE
15/6/1987,12.2,tr,4.2,5,Light,21,97,6,1200,1011,20,NNE,50,NE
