CAMBORNE                            © Crown Copyright  Met Office 2015,,,,,,,,,,,,,,
NGR = 1627E 4067N,,,,,,,,,,,,,,
Altitude = 87 metres,,,,,,,,,,,,,,
Latitude = 50:22N Longitude = 05:33W,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date,Daily Mean Temperature (0900-0900) (°C),Daily Total Rainfall (0900-0900) (mm),Daily Total Sunshine (0000-2400) (hrs),Daily Mean Windspeed (0000-2400) (kn),Daily Mean Windspeed (0000-2400) (Beaufort conversion),Daily Maximum Gust (0000-2400) (kn),Daily Maximum Relative Humidity %,Daily Mean Total Cloud (oktas),Daily Mean Visibility (dam),Daily Mean Pressure (hPa),Daily Mean Wind Direction (o),Cardinal Direction,Daily Max Gust Corresponding Direction (o),Cardinal Direction
1/5/2015,9.6,3.4,0,14,Moderate,33,95,8,2000,1007,110,ESE,110,ESE
2/5/2015,10.8,13.2,0,13,Moderate,37,100,8,500,1002,150,SSE,120,ESE
3/5/2015,12.4,0.2,0.4,13,Moderate,29,100,8,600,997,240,WSW,210,SSW
4/5/2015,9.8,12.8,3.8,9,Light,23,99,6,1000,999,140,SE,120,ESE
5/5/2015,10.9,2.2,5.2,18,Fresh,43,99,6,1100,995,240,WSW,220,SW
6/5/2015,10.6,tr,7.7,18,Fresh,38,90,6,1300,1007,270,W,260,W
7/5/2015,9.9,1.4,5.6,7,Light,17,91,6,2100,1016,210,SSW,260,W
8/5/2015,10.6,4.4,0.3,15,Moderate,30,99,8,900,1010,110,ESE,250,WSW
9/5/2015,11.9,tr,5.1,10,Light,28,98,6,1500,1018,260,W,270,W
10/5/2015,12.2,0.2,0.1,14,Moderate,29,99,8,700,1020,200,SSW,220,SW
11/5/2015,13.8,0.6,8.9,11,Moderate,29,99,7,1000,1018,230,SW,220,SW
12/5/2015,11.2,0,12.7,9,Light,23,95,3,1800,1022,290,WNW,290,WNW
13/5/2015,9.8,8.4,0.7,8,Light,21,97,7,1700,1018,110,ESE,130,SE
14/5/2015,11.2,tr,5.1,10,Light,28,99,7,1700,1009,230,SW,230,SW
15/5/2015,10.5,0.2,6.3,7,Light,20,99,6,1600,1023,30,NNE,310,NW
16/5/2015,11.7,0,10.9,11,Moderate,22,100,5,1500,1029,300,WNW,290,WNW
17/5/2015,10.6,2.4,1.3,9,Light,21,92,6,2300,1027,310,NW,210,SSW
18/5/2015,10.8,3.6,6.6,17,Fresh,38,100,7,1200,1010,290,WNW,310,NW
19/5/2015,9.7,0.2,8.6,16,Moderate,31,82,6,1800,1011,300,WNW,310,NW
20/5/2015,10.5,0,10.5,10,Light,21,90,5,2600,1022,350,N,330,NNW
21/5/2015,11.1,0.2,7.5,8,Light,17,97,6,1700,1029,300,WNW,290,WNW
22/5/2015,11.7,0.2,0,7,Light,14,100,8,300,1028,280,W,280,W
23/5/2015,12.2,0.6,7.8,5,Light,12,100,7,400,1026,10,N,350,N
24/5/2015,11.7,tr,0.1,7,Light,16,100,8,700,1023,280,W,290,WNW
25/5/2015,12.2,tr,0.7,8,Light,17,100,7,1000,1023,330,NNW,330,NNW
26/5/2015,12.7,0,9.5,8,Light,21,100,5,1700,1027,10,N,20,NNE
27/5/2015,12.6,tr,9.3,9,Light,23,99,5,1600,1025,280,W,290,WNW
28/5/2015,12.2,tr,9.3,11,Moderate,22,96,7,2000,1018,300,WNW,280,W
29/5/2015,11.3,1.2,5.8,11,Moderate,29,92,7,2300,1013,250,WSW,270,W
30/5/2015,10.5,8,6.1,10,Light,28,99,7,2200,1014,200,SSW,200,SSW
31/5/2015,11.5,0.2,5.8,13,Moderate,25,99,7,1200,1011,300,WNW,220,SW
1/6/2015,10.7,19,2.4,17,Fresh,42,98,8,1300,1011,220,SW,210,SSW
2/6/2015,13.2,0.2,4.2,18,Fresh,37,99,7,800,1008,260,W,280,W
3/6/2015,12.2,0,12,9,Light,22,97,3,1600,1023,290,WNW,280,W
4/6/2015,12.0,tr,8.8,9,Light,26,99,4,1900,1022,140,SE,140,SE
5/6/2015,12.1,tr,7.9,10,Light,22,99,5,1400,1018,290,WNW,290,WNW
6/6/2015,11.1,0,13.6,10,Light,21,90,3,2300,1027,300,WNW,260,W
7/6/2015,11.2,0,13.8,9,Light,22,88,4,2700,1033,20,NNE,30,NNE
8/6/2015,11.7,0,14.5,12,Moderate,29,85,2,3000,1034,30,NNE,30,NNE
9/6/2015,11.6,0,8.7,11,Moderate,30,86,4,3200,1032,60,ENE,30,NNE
10/6/2015,11.6,tr,14.6,11,Moderate,24,74,2,3000,1026,60,ENE,40,NE
11/6/2015,14.6,5,4.5,15,Moderate,34,93,7,1400,1014,110,ESE,100,E
12/6/2015,15.6,3.6,0,8,Light,24,99,8,500,1009,230,SW,110,ESE
13/6/2015,14.1,tr,1.2,8,Light,19,99,7,1100,1012,240,WSW,270,W
14/6/2015,13.4,0,8.6,7,Light,18,96,6,2100,1016,330,NNW,10,N
15/6/2015,14.4,0,6.2,5,Light,15,95,7,1600,1022,20,NNE,130,SE
16/6/2015,13.1,tr,12.3,5,Light,15,99,5,1800,1027,300,WNW,310,NW
17/6/2015,14.6,0.4,0.7,8,Light,21,100,8,1100,1027,280,W,300,WNW
18/6/2015,14.1,0,8.8,9,Light,18,100,5,1500,1025,350,N,290,WNW
19/6/2015,13.0,0.2,8.8,6,Light,16,99,4,1500,1026,340,NNW,330,NNW
20/6/2015,15.1,tr,1,8,Light,19,100,8,500,1024,300,WNW,280,W
21/6/2015,14.1,4.4,8.6,11,Moderate,22,93,7,1600,1021,290,WNW,290,WNW
22/6/2015,13.5,0.8,2.1,8,Light,27,99,7,2200,1015,350,N,280,W
23/6/2015,12.7,0,10.8,4,Light,10,99,5,3200,1020,340,NNW,340,NNW
24/6/2015,14.2,0,8.4,6,Light,18,99,5,2800,1021,210,SSW,220,SW
25/6/2015,16.8,0.4,11.4,9,Light,22,98,6,1800,1021,200,SSW,190,S
26/6/2015,16.3,2.6,5.2,10,Light,21,99,6,800,1018,220,SW,190,S
27/6/2015,15.4,1.6,5.2,9,Light,24,98,6,1600,1021,210,SSW,220,SW
28/6/2015,16.2,0.2,3.3,10,Light,22,99,7,1100,1020,210,SSW,220,SW
29/6/2015,16.1,0,6.7,8,Light,22,99,6,1400,1022,200,SSW,190,S
30/6/2015,19.6,tr,14.8,15,Moderate,29,97,3,1900,1014,130,SE,140,SE
1/7/2015,17.1,tr,1.7,7,Light,22,99,6,1200,1011,300,WNW,130,SE
2/7/2015,15.9,0.8,5.6,6,Light,16,95,5,2500,1019,200,SSW,220,SW
3/7/2015,17.2,0.4,6.3,14,Moderate,33,97,5,2000,1020,120,ESE,110,ESE
4/7/2015,18.2,14.4,8.9,12,Moderate,28,96,5,2400,1018,220,SW,200,SSW
5/7/2015,16.0,tr,7.8,10,Light,24,95,5,1900,1018,250,WSW,210,SSW
6/7/2015,15.6,8,1.4,15,Moderate,33,98,7,1500,1016,190,S,200,SSW
7/7/2015,15.9,0.4,6.3,14,Moderate,30,98,6,1800,1011,270,W,260,W
8/7/2015,14.7,tr,2,12,Moderate,26,94,7,1700,1018,330,NNW,280,W
9/7/2015,15.3,0,14.2,5,Light,12,96,3,2300,1024,350,N,360,N
10/7/2015,17.7,tr,8.2,9,Light,24,93,5,2300,1018,140,SE,130,SE
11/7/2015,16.3,7.2,6.6,11,Moderate,22,95,7,1600,1020,230,SW,220,SW
12/7/2015,16.0,1.4,0,10,Light,21,99,8,600,1018,240,WSW,260,W
13/7/2015,16.7,1,0,12,Moderate,25,99,8,500,1017,250,WSW,240,WSW
14/7/2015,16.3,2.4,0,8,Light,21,99,8,300,1018,230,SW,230,SW
15/7/2015,16.5,tr,8.4,9,Light,21,100,7,2100,1019,40,NE,20,NNE
16/7/2015,17.2,2,0.6,11,Moderate,24,99,7,1300,1013,150,SSE,190,S
17/7/2015,16.3,tr,5.1,9,Light,22,98,6,2400,1013,280,W,200,SSW
18/7/2015,14.2,tr,8.7,7,Light,18,91,5,3700,1017,200,SSW,200,SSW
19/7/2015,15.8,0.4,5.8,5,Light,15,96,6,2900,1011,350,N,310,NW
20/7/2015,17.1,1,3.5,11,Moderate,25,100,6,1000,1010,220,SW,230,SW
21/7/2015,17.3,tr,4.5,12,Moderate,24,97,6,1600,1013,230,SW,230,SW
22/7/2015,15.6,tr,7.3,8,Light,18,97,5,2600,1017,300,WNW,310,NW
23/7/2015,14.7,30.2,0.1,6,Light,13,93,7,2900,1018,210,SSW,220,SW
24/7/2015,14.0,2.2,0.1,13,Moderate,30,98,8,1200,1009,130,SE,110,ESE
