BELMONT (PERTH AIRPORT) ,,,© 2016 Crown Copyright Met Office,,
NGR = NA,,,,,
Altitude = 29,,,,,
"Latitude =  -31.933, 115.967",,,,,
,,,,,
Date,Daily Mean Air Temperature,Rainfall (24 hour total),Daily Mean Pressure (hPa),Daily Mean Wind Speed,Daily Mean Windspeed (Beaufort conversion)
1/5/1987,14.9,7.4,1020,8.8,Light
2/5/1987,13.7,0.4,1026,2.8,Light
3/5/1987,15.3,0.0,1024,2.8,Light
4/5/1987,16.9,0.0,1024,3.2,Light
5/5/1987,18.4,0.0,1025,3.5,Light
6/5/1987,21.6,0.0,1020,7.0,Light
7/5/1987,20.4,0.0,1017,5.2,Light
8/5/1987,16.6,10.0,1011,5.5,Light
9/5/1987,14.6,44.0,1009,6.5,Light
10/5/1987,10.0,18.4,1016,3.5,Light
11/5/1987,11.5,4.0,1022,8.5,Light
12/5/1987,12.3,0.0,1024,5.7,Light
13/5/1987,12.9,0.0,1025,1.0,Light
14/5/1987,13.1,2.0,1026,3.3,Light
15/5/1987,13.8,0.0,1028,4.2,Light
16/5/1987,14.8,0.0,1027,5.3,Light
17/5/1987,14.5,0.0,1023,2.8,Light
18/5/1987,13.5,0.0,1023,1.5,Light
19/5/1987,14.5,0.0,1025,1.5,Light
20/5/1987,13.8,0.0,1026,0.7,Light
21/5/1987,14.8,0.0,1026,2.7,Light
22/5/1987,16.5,0.0,1026,0.2,Light
23/5/1987,16.3,0.0,1027,1.5,Light
24/5/1987,16.0,0.0,1028,2.3,Light
25/5/1987,16.0,0.0,1029,4.3,Light
26/5/1987,14.7,0.0,1030,3.8,Light
27/5/1987,14.4,0.0,1028,7.3,Light
28/5/1987,14.0,0.0,1026,3.2,Light
29/5/1987,14.8,0.0,1028,7.2,Light
30/5/1987,15.5,0.0,1027,3.8,Light
31/5/1987,15.1,0.0,1023,5.0,Light
1/6/1987,15.9,0.0,1022,12.6,Moderate
2/6/1987,17.0,0.0,1021,10.2,Light
3/6/1987,14.9,0.2,1018,7.5,Light
4/6/1987,15.5,6.0,1014,4.3,Light
5/6/1987,19.3,0.0,1012,5.7,Light
6/6/1987,17.8,13.0,1005,11.4,Moderate
7/6/1987,14.8,19.4,1010,3.2,Light
8/6/1987,15.5,2.0,1013,9.0,Light
9/6/1987,16.9,10.0,1016,7.7,Light
10/6/1987,14.2,3.0,1024,1.3,Light
11/6/1987,13.8,0.0,1026,1.5,Light
12/6/1987,14.1,0.0,1025,5.8,Light
13/6/1987,16.6,0.0,1021,7.7,Light
14/6/1987,18.4,0.0,1019,5.8,Light
15/6/1987,15.0,19.0,1020,5.3,Light
16/6/1987,18.3,9.0,1013,7.3,Light
17/6/1987,14.5,11.0,1008,11.0,Moderate
18/6/1987,12.6,20.0,1005,12.8,Moderate
19/6/1987,14.2,60.0,1008,8.8,Light
20/6/1987,11.1,22.0,1018,9.0,Light
